id,DateAdded,Price,Exterior color,Bedrooms,Bathrooms,Floors,waterfront,View,Condition,Grade,Sqft_living,Sqft_lot,Sqft_above,Sqft_basement,Yr_built,Yr_renovated,timedelta,Country,Country-ISO,Full-State,State,City,County,lat,long,NeighborhoodName,ZipCode
9322800210,2014-05-20,879950,gray,4,2,1,False,4,4,9,3500,13875,1830,1670,1938,0,7.181110469282407,Canada,CAN,,,Toronto,,48.36679,-72.21584,Petite rivière Ballantyne,P8N 0M4
7010700976,2014-11-14,505000,light gray,3,1,1,False,0,3,7,1100,5400,1100,0,1908,0,9.902501617835648,Canada,CAN,,,Winnipeg,,50.7167,-92.50033,Fork Creek,T8L 0E4
6752000330,2014-08-15,490000,black,3,1,1,False,0,3,8,1490,11360,1490,0,1975,0,6.173574384675925,Canada,CAN,,,St_Johns,,,,,--
291310310,2014-12-10,533500,yelow,3,3,2,False,0,3,8,2490,3517,1720,770,9999999,0,-0.1049935093287037,Canada,CAN,,,Toronto,,46.06681,-75.78263,Grand Lac Bait,N4X 9M2
3991400080,2014-12-16,499900,light pink,3,1,1,False,2,3,8,2430,8820,1630,800,1977,0,1.273405916898148,USA,USA,South Dakota,SD,Union Center,Meade,44.638004,-102.79796,,37110
2972300140,2014-08-21,352500,pink,3,2,1,False,0,3,8,1920,33630,1920,0,1992,0,-0.05825071126157408,USA,USA,Kentucky,KY,West Van Lear,Johnson,37.786111,-82.771389,,33823
6819100122,2014-06-05,0,white,2,1,1,False,0,3,7,970,3400,970,0,1924,0,0.3070414216666666,USA,USA,New York,NY,Johnsonville,Rensselaer,42.876875,-73.498899,,19454
2487200680,2015-02-24,447000,white,2,1,1,False,2,3,6,720,7500,720,0,1925,0,3.764529691886574,Canada,CAN,,,Moncton,,45.37842,-65.57841,Burchills Flats,E5H 9T7
7574910490,2014-11-14,864500,   ,0,0,0,True,0,0,0,0,0,0,0,0,0,3.23613636625,USA,USA,Illinois,IL,Thebes,Alexander,37.191554,-89.396896,,54650
710600160,2014-09-09,665000,light blue,4,3,2,False,0,3,8,2650,3474,2230,420,2011,0,8.475218024861112,Canada,CAN,,,Toronto,,47.10139,-75.6575,Lac Mélançon,H9P 7E8
